site_name,site,depth_designation,dt,month,year,time,hour,depth,chl,chl_cens,chl_flag,phaeo,phaeo_flag,phaeo_cens,nox_n,nox_n_cens,nox_n_flag,nh4_n,nh4_n_cens,nh4_n_flag,tn,tn_flag,op_p,op_p_flag,tp,tp_cens,tp_flag,tss,tss_cens,tss_flag,Sample Comments,Validation Comments,Latitude,Longitude
ANTHOINE CREEK - AC04,AC04,,2015-08-26,Aug,2015,13:05,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.256,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.018,FALSE,0.097,FALSE,TRUE,,FALSE,FALSE,,,43.632,-70.261
ANTHOINE CREEK - AC04,AC04,,2015-09-23,Sep,2015,13:15,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.235,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0151,FALSE,0.08,FALSE,TRUE,,FALSE,FALSE,,,43.632,-70.261
ANTHOINE CREEK - AC05,AC05,,2015-07-27,Jul,2015,13:55,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.264,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.031,FALSE,0.0615,FALSE,FALSE,,FALSE,FALSE,,,43.63386,-70.25861
ANTHOINE CREEK - AC05,AC05,,2015-08-10,Aug,2015,12:15,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.145,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.034,TRUE,0.09,FALSE,TRUE,,FALSE,FALSE,,SAMPLE BEYOND HOLDING TIME BY 5 HOURS,43.63386,-70.25861
ANTHOINE CREEK - AC05,AC05,,2015-08-26,Aug,2015,13:20,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.202,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.0316,FALSE,0.074,FALSE,TRUE,,FALSE,FALSE,,,43.63386,-70.25861
ANTHOINE CREEK - AC05,AC05,,2015-09-23,Sep,2015,13:30,13,0.2,,FALSE,FALSE,,FALSE,FALSE,0.195,FALSE,FALSE,,FALSE,FALSE,,FALSE,0.038,FALSE,0.073,FALSE,TRUE,,FALSE,FALSE,,,43.63386,-70.25861
ANTHOINE CREEK - AC05,AC05,,2016-07-21,Jul,2016,15:07,15,0.2,2.18,FALSE,FALSE,0.77,FALSE,FALSE,0.046,FALSE,TRUE,0.04,FALSE,FALSE,0.208,FALSE,0.047,TRUE,0.147,FALSE,FALSE,,FALSE,FALSE,NO QC RUN WITH THIS DATA.,"ESTIMATED HIGH DUE TO BLANK CONTAMINATION, EXCEEDS 48 HOUR HOLD TIME BY 5 DAYS",43.63386,-70.25861
ANTHOINE CREEK - AC05,AC05,,2016-09-19,Sep,2016,15:54,15,0.2,1.9,FALSE,FALSE,1.01,FALSE,FALSE,0.034,FALSE,FALSE,0.051,FALSE,FALSE,0.365,FALSE,0.067,TRUE,0.087,FALSE,FALSE,,FALSE,FALSE,,EXCEEDS 48 HOUR HOLD TIME BY 12 DAYS,43.63386,-70.25861
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-05-10,May,2018,12:42,12,0.2,0.979,FALSE,FALSE,0.444,FALSE,FALSE,0.044,FALSE,FALSE,0.066,FALSE,FALSE,1.056,FALSE,0.015,TRUE,0.034,FALSE,FALSE,3,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-05-31,May,2018,12:00,12,0.2,1.6,FALSE,FALSE,0.443,FALSE,FALSE,0.041,FALSE,TRUE,0.016,FALSE,FALSE,0.395,TRUE,0.017,TRUE,0.02,FALSE,TRUE,6,FALSE,FALSE,,"OUT OF HOLD TIME., SAMPLE BEYOND HOLDING TIME, VALUE ESTIMATED HIGH DUE TO BLANK CONTAMINATION",43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-06-25,Jun,2018,14:00,14,0.2,2.28,FALSE,FALSE,0.789,FALSE,FALSE,0.012,FALSE,FALSE,0.019,FALSE,FALSE,0.423,FALSE,0.02,TRUE,0.033,FALSE,FALSE,3.7,FALSE,FALSE,,VALUE ESTIMATED HIGH DUE TO BLANK CONTAMINATION. SAMPLE OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-07-18,Jul,2018,14:18,14,0.2,1.09,FALSE,FALSE,,FALSE,FALSE,0.045,FALSE,FALSE,0.032,FALSE,TRUE,0.387,FALSE,0.025,TRUE,0.035,FALSE,FALSE,8.2,FALSE,FALSE,,"BLANK CONTAMINATION AT RL, OUT OF HOLD TIME.",43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-08-08,Aug,2018,13:20,13,0.2,2.54,FALSE,FALSE,0.67,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.287,FALSE,,FALSE,0.029,FALSE,FALSE,4.3,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-08-30,Aug,2018,12:18,12,0.2,4.46,FALSE,FALSE,0.9,FALSE,FALSE,0.027,FALSE,FALSE,0.054,FALSE,FALSE,0.396,FALSE,0.011,TRUE,0.065,FALSE,FALSE,5,FALSE,FALSE,,VALUE ESTIMATED HIGH DUE TO BLANK CONTAMINATION. SAMPLE OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-09-20,Sep,2018,12:45,12,0.2,2.59,FALSE,FALSE,0.79,FALSE,FALSE,0.043,FALSE,FALSE,0.03,FALSE,FALSE,0.183,FALSE,0.019,TRUE,0.045,FALSE,FALSE,3.7,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2018-10-12,Oct,2018,11:55,11,0.2,2.58,FALSE,FALSE,0.64,FALSE,FALSE,0.069,FALSE,FALSE,0.042,FALSE,FALSE,0.215,FALSE,0.027,TRUE,0.061,FALSE,FALSE,4.2,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-05-15,May,2019,13:00,13,0.2,4.76,FALSE,FALSE,1.09,FALSE,FALSE,0.0148,FALSE,FALSE,0.4,TRUE,FALSE,0.459,FALSE,0.0164,TRUE,0.033,FALSE,FALSE,5.8,FALSE,TRUE,,"Hold time exceeded by 0.9 hours., OUT OF HOLD TIME.",43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-06-05,Jun,2019,11:00,11,0.2,5.63,FALSE,FALSE,0.16,FALSE,TRUE,0.0522,FALSE,FALSE,4,TRUE,FALSE,0.258,FALSE,0.0147,TRUE,0.024,FALSE,FALSE,4,FALSE,TRUE,,"Hold time exceeded by 2.4 hours., OUT OF HOLD TIME.",43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-06-27,Jun,2019,11:15,11,0.2,5.55,FALSE,FALSE,1.46,FALSE,FALSE,0.0277,FALSE,FALSE,0.011,FALSE,FALSE,0.303,FALSE,0.0088,TRUE,0.0329,FALSE,FALSE,5.1,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-07-19,Jul,2019,11:07,11,0.2,2.45,FALSE,FALSE,0.76,FALSE,FALSE,0.0172,FALSE,FALSE,0.044,FALSE,FALSE,0.276,FALSE,0.0134,TRUE,0.032,FALSE,FALSE,5.4,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-08-12,Aug,2019,13:00,13,0.2,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.229,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-08-12,Aug,2019,13:30,13,0.2,2.75,FALSE,FALSE,0.839,FALSE,FALSE,0.002,TRUE,FALSE,0.01,TRUE,FALSE,,FALSE,0.0185,TRUE,0.0332,FALSE,FALSE,5.1,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-09-03,Sep,2019,12:35,12,0.2,8.97,FALSE,FALSE,0.32,FALSE,TRUE,0.0126,FALSE,FALSE,0.01,TRUE,FALSE,0.356,FALSE,0.013,TRUE,0.0352,FALSE,FALSE,3.6,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-09-24,Sep,2019,11:57,11,0.2,2.33,FALSE,FALSE,0.58,FALSE,FALSE,0.0141,FALSE,FALSE,0.01,FALSE,TRUE,0.317,FALSE,0.0208,TRUE,0.0371,FALSE,FALSE,5.5,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2019-10-16,Oct,2019,10:55,10,0.2,2.14,FALSE,FALSE,0.736,FALSE,FALSE,0.0298,FALSE,FALSE,0.018,FALSE,FALSE,0.195,FALSE,0.0312,TRUE,0.0419,FALSE,FALSE,3.8,FALSE,FALSE,,OUT OF HOLD TIME.,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-05-26,May,2020,12:15,12,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.18881663513,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-05-26,May,2020,12:15,12,0.2,0.52,FALSE,FALSE,1.02,FALSE,FALSE,0.0176,FALSE,FALSE,0.02,FALSE,FALSE,,FALSE,0.0092,TRUE,0.028,FALSE,FALSE,2.8,FALSE,FALSE,,SAMPLE BEYOND 48 H HOLDING TIME,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-06-16,Jun,2020,13:30,13,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.26704010492,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-06-16,Jun,2020,13:30,13,0.2,0.785,FALSE,FALSE,1.54,FALSE,FALSE,0.0102,FALSE,FALSE,0.026,FALSE,FALSE,,FALSE,0.0125,TRUE,0.035,FALSE,FALSE,3.2,FALSE,TRUE,,"Hold time exceeded by 0.5 hours., SAMPLE BEYOND 48 H HOLDING TIME",43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-07-16,Jul,2020,12:15,12,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.39045935726,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-07-16,Jul,2020,12:15,12,0.2,4.67,FALSE,FALSE,8.97,FALSE,FALSE,0.037,FALSE,FALSE,0.03,FALSE,FALSE,,FALSE,0.014,TRUE,0.0284,FALSE,FALSE,6.7,FALSE,FALSE,,SAMPLE BEYOND 48 H HOLDING TIME,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-07-29,Jul,2020,11:45,11,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.15266306758,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-07-29,Jul,2020,11:45,11,0.2,1.81,FALSE,FALSE,4.4,FALSE,FALSE,0.0077,FALSE,FALSE,0.01,TRUE,FALSE,,FALSE,0.0179,TRUE,0.0282,FALSE,FALSE,4.2,FALSE,FALSE,,SAMPLE BEYOND 48 H HOLDING TIME,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-08-21,Aug,2020,12:34,12,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.16691631622,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-08-21,Aug,2020,12:34,12,0.2,2.66,FALSE,FALSE,5.89,FALSE,FALSE,0.0091,FALSE,FALSE,0.01,FALSE,FALSE,,FALSE,0.0167,TRUE,0.0343,FALSE,FALSE,6.9,FALSE,FALSE,,SAMPLE BEYOND 48 H HOLDING TIME,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-09-14,Sep,2020,13:40,13,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.3033868197,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-09-14,Sep,2020,13:40,13,0.2,1.95,FALSE,FALSE,7.21,FALSE,FALSE,0.002,TRUE,FALSE,0.015,FALSE,FALSE,,FALSE,0.0279,TRUE,0.0379,FALSE,FALSE,3.8,FALSE,FALSE,,SAMPLE BEYOND 48 H HOLDING TIME,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-10-19,Oct,2020,11:17,11,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.37519197725,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.676316,-70.250002
BANDM RAILROAD TRESTLE - BMR02,BMR02, SUR,2020-10-19,Oct,2020,11:17,11,0.2,0.926,FALSE,FALSE,1.73,FALSE,FALSE,0.0613,FALSE,FALSE,0.017,FALSE,FALSE,,FALSE,0.0144,TRUE,0.0432,FALSE,FALSE,4.3,FALSE,FALSE,,SAMPLE BEYOND 48 H HOLDING TIME,43.676316,-70.250002
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2018-05-10,May,2018,09:46,9,0.2,1.29,FALSE,FALSE,0.437,FALSE,FALSE,0.026,FALSE,FALSE,0.006,FALSE,FALSE,0.144,FALSE,0.013,TRUE,0.02,FALSE,FALSE,2.5,TRUE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, BOT,2018-05-10,May,2018,10:10,10,13.3,,FALSE,FALSE,,FALSE,FALSE,0.052,FALSE,TRUE,0.029,FALSE,TRUE,0.264,FALSE,0.016,TRUE,0.03,FALSE,FALSE,,FALSE,FALSE,,SAMPLE BEYOND HOLDING TIME,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2018-08-08,Aug,2018,10:44,10,0.2,1.67,FALSE,FALSE,0.351,FALSE,FALSE,0.012,FALSE,FALSE,0.021,FALSE,FALSE,0.151,FALSE,0.002,TRUE,0.023,FALSE,FALSE,2.5,FALSE,FALSE,,VALUE ESTIMATED HIGH DUE TO BLANK CONTAMINATION. SAMPLE OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, BOT,2018-08-08,Aug,2018,10:55,10,12.5,,FALSE,FALSE,,FALSE,FALSE,0.021,FALSE,FALSE,0.036,FALSE,FALSE,0.169,FALSE,0.015,TRUE,0.04,FALSE,FALSE,,FALSE,FALSE,,VALUE ESTIMATED HIGH DUE TO BLANK CONTAMINATION. SAMPLE OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-05-15,May,2019,12:00,12,0.2,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.183,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, BOT,2019-05-15,May,2019,12:08,12,12.81,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.303,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-06-05,Jun,2019,10:21,10,0.2,2.81,FALSE,FALSE,0.491,FALSE,FALSE,0.0353,FALSE,FALSE,4,TRUE,FALSE,0.449,FALSE,0.0066,TRUE,0.033,FALSE,FALSE,1.5,FALSE,TRUE,,"Hold time exceeded by 4.8 hours., OUT OF HOLD TIME.",43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, BOT,2019-06-05,Jun,2019,10:28,10,11.24,,FALSE,FALSE,,FALSE,FALSE,0.002,TRUE,FALSE,4,TRUE,FALSE,0.272,FALSE,0.0163,TRUE,0.025,FALSE,TRUE,,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-06-27,Jun,2019,12:00,12,0.2,3.66,FALSE,FALSE,0.5,FALSE,FALSE,0.002,TRUE,FALSE,0.006,FALSE,FALSE,0.181,FALSE,,TRUE,0.041,FALSE,FALSE,3.1,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-07-19,Jul,2019,09:08,9,0.2,2.28,FALSE,FALSE,0.18,FALSE,FALSE,0.002,TRUE,FALSE,0.02,TRUE,FALSE,0.191,FALSE,,TRUE,0.031,FALSE,FALSE,2.6,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-08-12,Aug,2019,13:15,13,0.2,1.63,FALSE,FALSE,0.244,FALSE,FALSE,0.01,TRUE,FALSE,0.041,FALSE,TRUE,0.185,FALSE,0.0088,TRUE,0.03,FALSE,FALSE,6.2,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-09-03,Sep,2019,11:45,11,0.2,3.58,FALSE,FALSE,1.14,FALSE,FALSE,0.0021,FALSE,FALSE,0.01,TRUE,FALSE,0.291,FALSE,0.0096,TRUE,0.0369,FALSE,FALSE,2,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-09-24,Sep,2019,09:55,9,0.2,5.21,FALSE,FALSE,1,FALSE,FALSE,0.01,TRUE,FALSE,0.05,TRUE,FALSE,0.25,FALSE,0.0087,TRUE,0.0346,FALSE,FALSE,3.1,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2019-10-16,Oct,2019,10:13,10,0.2,2.74,FALSE,FALSE,0.861,FALSE,FALSE,0.002,TRUE,FALSE,0.05,TRUE,FALSE,0.25,FALSE,0.023,TRUE,0.0396,FALSE,FALSE,1.5,FALSE,FALSE,,OUT OF HOLD TIME.,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2020-06-16,Jun,2020,12:24,12,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.1992464311,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2020-07-16,Jul,2020,10:49,10,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.19750813178,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2020-07-29,Jul,2020,10:35,10,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.18524192161,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2020-08-21,Aug,2020,10:10,10,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.21171224051,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2020-09-24,Sep,2020,10:35,10,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.26748424093,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
CLAPBOARD ISLAND - P7CBI,P7CBI, SUR,2020-10-19,Oct,2020,13:47,13,0.1,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,0.26269723043,FALSE,,FALSE,,FALSE,FALSE,,FALSE,FALSE,,,43.719167,-70.203056
COUSINS RIVER - CR00,CR00,,2017-06-01,Jun,2017,12:10,12,0.2,0.88,FALSE,FALSE,0.62,FALSE,FALSE,0.1,FALSE,FALSE,0.009,FALSE,FALSE,0.358,FALSE,0.023,TRUE,0.013,FALSE,FALSE,16,FALSE,FALSE,,OUT OF HOLD TIME.,43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-06-26,Jun,2017,14:10,14,0.2,60.1,FALSE,FALSE,2.11,FALSE,FALSE,0.147,FALSE,FALSE,0.007,FALSE,FALSE,0.84,FALSE,0.012,TRUE,0.077,FALSE,FALSE,37,FALSE,FALSE,,OUT OF HOLD TIME.,43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-07-17,Jul,2017,13:25,13,0.2,3.01,FALSE,TRUE,2.18,TRUE,FALSE,0.469,FALSE,FALSE,0.074,FALSE,FALSE,0.834,FALSE,0.013,TRUE,0.022,FALSE,FALSE,17,FALSE,FALSE,BUCKET SAMPLE,"OUT OF HOLD TIME., RECEIPT TEMPERATURE EXCEEDANCE, POSSIBLE UNDERESTIMATE OF ACTUAL VALUE, BUT LAB STATEMENT THAT INFRARED TEMPERATURE GUN NOT ACCURATE FOR ALUMINUM FOIL AND FILTERS",43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-08-07,Aug,2017,11:25,11,0.2,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,46,FALSE,FALSE,,,43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-08-07,Aug,2017,11:30,11,0.2,6.16,FALSE,TRUE,5.42,TRUE,FALSE,0.273,FALSE,FALSE,0.067,FALSE,FALSE,0.665,FALSE,0.047,TRUE,0.152,FALSE,FALSE,,FALSE,FALSE,,"OUT OF HOLD TIME., RECEIPT TEMPERATURE EXCEEDANCE, POSSIBLE UNDERESTIMATE OF ACTUAL VALUE, BUT LAB STATEMENT THAT INFRARED TEMPERATURE GUN NOT ACCURATE FOR ALUMINUM FOIL AND FILTERS",43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-08-29,Aug,2017,12:00,12,0.2,0.76,FALSE,FALSE,1.07,FALSE,FALSE,,FALSE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,FALSE,FALSE,4,FALSE,FALSE,,,43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-08-29,Aug,2017,12:15,12,0.2,,FALSE,FALSE,,FALSE,FALSE,0.28,FALSE,FALSE,0.023,FALSE,FALSE,0.486,FALSE,0.018,TRUE,0.118,FALSE,FALSE,,FALSE,FALSE,,OUT OF HOLD TIME.,43.82922,-70.14582
COUSINS RIVER - CR00,CR00,,2017-09-20,Sep,2017,12:25,12,0.2,37.2,FALSE,FALSE,2.8,FALSE,FALSE,0.284,FALSE,FALSE,0.142,FALSE,FALSE,0.717,FALSE,0.029,TRUE,0.075,FALSE,FALSE,20,FALSE,FALSE,,OUT OF HOLD TIME.,43.82922,-70.14582
